TaxPayerCurrencyID,Code,Title,Version,Creator,CreationDate,LastModifier,LastModificationDate,UniversalCode
73,498,لئو مولداوي-MDL,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MDL
74,504,درهم مراكش-MAD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MAD
75,512,ريال عمان-OMR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,OMR
76,516,دلار ناميبيا-NAD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NAD
77,524,روپيه نپال-NPR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NPR
78,533,فلورين آروبا-AWG,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,AWG
79,548,واتوي  وانواتو-VUV,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,VUV
80,554,دلار نيوزيلند-NZD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NZD
81,558,كوردوبا نيكاراگوئه-NIO,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NIO
82,566,نايرا نيجريه-NGN,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NGN
83,578,كرون نروژ-NOK,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NOK
84,586,روپيه پاكستان-PKR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PKR
85,590,بالبوآ پاناما-PAB,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PAB
86,598,كيناي پاپوآ گينه نو-PGK,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PGK
87,600,گواراني پاراگوئه-PYG,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PYG
88,604,سل پرو-PEN,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PEN
89,608,پزو فيليپين-PHP,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PHP
90,634,ريال قطر-QAR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,QAR
91,643,روبل روسيه-RUB,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,RUB
92,646,فرانك رواندا-RWF,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,RWF
93,654,پوند سنت هلن-SHP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SHP
94,678,دوبرا سائوتومه و پرينسيپ-STD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,STD
95,682,ريال عربستان سعودي-SAR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SAR
96,690,روپيه سيشل-SCR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SCR
97,694,لئون سيرالئون-SLL,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SLL
98,702,دلار سنگاپور-SGD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SGD
99,704,دونگ ويتنام-VND,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,VND
100,706,شيلينگ سومالي-SOS,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SOS
101,710,راند افريقاي جنوبي-ZAR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,ZAR
102,748,ليلانگني سوازيلند-SZL,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SZL
103,752,كرون سوئد-SEK,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SEK
104,756,فرانك سوئيس-CHF,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,CHF
105,760,پوند سوريه-SYP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SYP
106,764,بات تايلند-THB,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,THB
107,776,پاآنگاي تونگا-TOP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TOP
108,780,دلار ترينيداد و توباگو-TTD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TTD
109,784,درهم امارات-AED,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,AED
110,788,دينار تونس-TND,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TND
111,800,شيلينگ اوگاندا-UGX,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,UGX
112,807,دنار مقدونيه-MKD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,MKD
113,818,پوند مصر-EGP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,EGP
114,826,پوند بريتانيا-GBP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,GBP
115,834,شيلينگ تانزانيا-TZS,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TZS
116,840,دلار ايالات متحده-USD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,USD
117,858,پزو اروگوئه-UYU,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,UYU
118,860,صوم ازبكستان-UZS,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,UZS
119,882,تالا ساموا-WST,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,WST
120,886,ريال يمن-YER,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,YER
121,901,دلار تايوان-TWD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,TWD
122,934,منات تركمنستان-TMT,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,TMT
123,936,سدي غنا-GHS,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,GHS
124,937,بوليوار ونزوئلا-VEF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,VEF
125,938,پوند سودان-SDG,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,SDG
126,941,دينار صربستان-RSD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,RSD
127,946,لئو روماني-RON,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,RON
128,949,ليره تركيه-TRY,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,TRY
129,950,فرانك سي‌اف‌اي آفريقاي ميانه-XAF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XAF
130,951,دلار شرق كارائيب-XCD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XCD
131,952,فرانك سي‌اف‌اي آفريقاي غربي-XOF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XOF
132,953,فرانك اقيانوس آرام-XPF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XPF
133,968,دلار سورينام-SRD,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,SRD
134,971,افغاني افغانستان-AFN,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,AFN
135,972,ساماني تاجيكستان-TJS,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,TJS
136,974,روبل بلاروس-BYR,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,BYR
137,975,لو بلغارستان-BGN,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,BGN
138,978,يورو اتحاديه اروپا-EUR,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,EUR
139,980,هريونا اوكراين-UAH,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,UAH
140,981,لاري گرجستان-GEL,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,GEL
141,985,زلوتي لهستان-PLN,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,PLN
142,986,رئال برزيل-BRL,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,BRL
