FormulaBomItemID,ProductFormulaRef,ItemRef,Quantity,SecondaryQuantity,Description,ItemTracingRef
195,40,2210,0.1000,,,
196,40,2165,1.0000,,,
197,42,1876,0.0001,0.1000,,
198,42,1877,0.0002,0.2000,,
199,42,1878,0.0004,0.4000,,
200,42,1883,0.0001,0.1000,,
201,42,1884,0.0070,,,
202,42,1886,0.0002,0.2000,,
203,42,1893,0.0016,1.6000,,
204,42,1906,0.0001,0.1000,,
205,42,1969,0.0195,19.5000,,
206,42,1920,0.0090,9.0000,,
207,42,1928,0.0811,,,
208,42,1939,0.0032,,,
209,42,2014,0.0018,,,
210,43,1878,0.0001,0.1000,,
211,43,1886,0.0001,0.1000,,
212,43,1887,0.0002,0.2000,,
213,43,1893,0.0010,1.0400,,
214,43,1906,0.0001,0.1000,,
215,43,1969,0.0120,12.0000,,
216,43,1972,0.0064,6.4000,,
217,43,1928,0.1420,,,
218,43,2054,0.0012,,,
219,43,2205,0.0032,,,
220,43,1861,0.0016,1.6000,,
221,43,2014,0.0018,,,
222,44,2114,0.1350,135.0000,,
223,44,1886,0.0060,6.0000,,
224,44,1893,0.0180,18.0000,,
225,44,1967,0.3530,,,
226,44,1972,0.0530,53.0000,,
227,44,1982,0.0590,59.0000,,
228,44,2040,0.0470,47.0000,,
229,44,2055,0.0470,,,
230,44,2057,0.1050,105.0000,,
231,44,2206,0.0240,24.0000,,
232,44,1864,0.1470,,,
233,44,1867,0.1290,129.0000,,
234,44,1875,0.0470,,,
235,45,1883,0.0030,3.0000,,
236,45,1886,0.0020,2.0000,,
237,45,1888,0.0040,,,
238,45,1889,0.0010,1.0000,,
239,45,1892,0.0150,15.0000,,
240,45,1893,0.0050,5.0000,,
241,45,1968,0.0370,,,
242,45,2040,0.0350,35.0000,,
243,45,2061,0.1080,,,
244,45,2064,0.0580,,,
245,45,1860,0.5770,,,
246,45,1861,0.0580,58.0000,,
247,45,2190,0.1150,,,
248,46,2114,0.0400,40.0000,,
249,46,1893,0.0040,4.0000,,
250,46,2162,0.0080,8.0000,,
251,46,1972,0.0140,14.0000,,
252,46,2042,0.0300,,,
253,46,1986,0.0300,30.0000,,
254,46,2047,0.0600,,,
255,46,2056,0.0400,,,
256,46,1865,0.0700,,,
257,46,1872,0.0500,,,
258,46,1873,0.6500,,,
259,47,2114,0.0300,30.0000,,
260,47,1882,0.0020,,,
261,47,1886,0.0020,2.0000,,
262,47,1893,0.0140,14.0000,,
263,47,1898,0.0450,,,
266,47,1916,0.0040,4.0000,,
267,47,1917,0.0030,3.0000,,
268,47,1972,0.0100,10.0000,,
269,47,1976,0.4500,,,
270,47,2055,0.0150,,,
271,47,2061,0.2250,,,
272,47,2064,0.2000,,,
273,47,2205,0.1500,,,
274,47,2206,0.1250,125.0000,,
275,48,1887,0.0020,2.0000,,
276,48,1892,0.0190,19.0000,,
277,48,1893,0.0130,13.0000,,
278,48,1903,0.0020,2.0000,,
279,48,1906,0.0020,2.0000,,
280,48,2211,0.0020,,,
281,48,1954,0.9520,,,
282,48,1972,0.0190,19.0000,,
283,48,1982,0.0060,6.0000,,
284,48,2044,0.0100,10.0000,,
285,48,1862,0.1140,114.0000,,
286,48,1864,0.0190,,,
287,49,2114,0.0020,2.0000,,
288,49,1886,0.0002,0.2000,,
289,49,1893,0.0002,0.2000,,
290,49,1972,0.0070,7.0000,,
291,49,1950,0.0020,,,
292,49,2040,0.0080,8.0000,,
293,49,2055,0.0070,,,
294,49,2062,0.0090,,,
295,49,1860,0.0550,,,
296,49,1867,0.0070,7.0000,,
297,49,1875,0.0040,,,
298,49,2000,1.0000,,,
307,50,1901,0.0100,10.0000,,
308,50,2042,0.0400,,,
309,50,1861,0.9000,900.0000,,
310,50,1875,0.0500,,,
312,51,1879,0.0030,3.0000,,
313,51,1888,0.0080,,,
314,51,1893,0.0050,5.0000,,
315,51,1901,0.0030,3.0000,,
316,51,1912,0.0030,,,
317,51,1924,0.2670,,,
318,51,2040,0.0270,27.0000,,
319,51,2042,0.0320,,,
320,51,2047,0.0530,,,
321,51,1860,0.5330,,,
322,51,1861,0.1200,120.0000,,
323,51,1867,0.0130,13.0000,,
334,53,1898,0.0150,,,
335,53,1961,0.0200,,,
