TaxPayerItemMappingID,ItemRef,Serial,Version,TaxPayerCurrencyRef
572,2078,,0,
573,2079,,0,
574,2080,,0,
575,2081,,0,
576,2082,,0,
577,2083,,0,
578,2084,,0,
579,2085,,0,
580,2086,,0,
581,2087,,0,
582,2088,,0,
583,2089,,0,
584,2090,,0,
585,2091,,0,
586,2092,,0,
587,2093,,0,
588,2094,,0,
589,2095,,0,
591,2097,,0,
592,2098,,0,
593,2099,,0,
594,2100,,0,
595,2101,,0,
596,2102,,0,
597,2103,,0,
598,2104,,0,
599,2105,,0,
600,2106,,0,
601,2107,,0,
602,2108,,0,
603,2109,,0,
604,2110,,0,
605,2113,,0,
606,2114,,0,
607,2119,,0,
608,2120,,0,
609,2121,,0,
610,2124,,0,
611,2125,,0,
612,2128,,0,
613,2129,,0,
614,2130,,0,
615,2131,,0,
616,2132,,0,
617,2133,,0,
618,2134,,0,
619,2135,,0,
620,2136,,0,
621,2137,,0,
622,2138,,0,
623,2139,,0,
624,2140,,0,
625,2143,,0,
626,2146,,0,
627,2154,,0,
628,2162,,0,
629,2163,,0,
630,2164,,0,
631,2165,,0,
632,2166,,0,
633,2167,,0,
634,2168,,0,
635,2169,,0,
636,2170,,0,
637,2171,,0,
638,2172,,0,
639,2173,,0,
640,2174,,0,
641,2175,,0,
642,2176,,0,
643,2177,,0,
644,2178,,0,
645,2179,,0,
646,2180,,0,
647,2181,,0,
648,2182,,0,
649,2183,,0,
650,2184,,0,
651,2185,,0,
652,2186,,0,
653,2187,,0,
654,2188,,0,
655,2189,,0,
656,2190,,0,
657,2191,,0,
658,2192,,0,
659,2193,,0,
660,2195,,0,
661,2196,,0,
662,2197,,0,
663,2198,,0,
664,2199,,0,
665,2200,,0,
666,2201,,0,
667,2202,,0,
668,2203,,0,
669,2204,,0,
670,2205,,0,
671,2206,,0,
672,2207,,0,
673,2208,,0,
674,2209,,0,
675,2210,,0,
676,2211,,0,
677,2213,,0,
678,2214,,0,
679,2215,,0,
680,2216,,0,
681,2217,,0,
682,2218,,0,
683,2219,,0,
684,2220,,0,
685,2221,,0,
686,2222,,0,
687,2223,,0,
688,2224,,0,
689,2225,,0,
690,2226,,0,
691,2227,,0,
692,2228,,0,
693,2229,,0,
694,2230,,0,
695,2231,,0,
696,2233,,0,
697,2234,,0,
698,2239,,0,
699,2240,,0,
700,2245,,0,
701,2246,,0,
702,2247,,0,
703,2248,,0,
704,2250,,0,
705,2251,,0,
706,2252,,0,
707,2253,,0,
708,2254,,0,
709,2255,,0,
710,2256,,0,
711,2257,,0,
713,2259,,0,
714,2260,,0,
715,2261,,0,
716,2262,,0,
717,2263,,0,
718,2267,,0,
719,2270,,0,
720,2272,,0,
721,2274,,0,
722,2275,,0,
724,2277,,0,
725,2279,,0,
726,2280,,0,
