UserAccessID,UserRef,LogicalResource,HasAccess
291,2,General.MarketingDisketteManagement.PartyMarketingDiskette1396.List,True
297,2,Accounting.ReportManagement.BalanceSheetReport,True
298,2,Accounting.ReportManagement.NotebookReport,True
299,2,General.VatManagement.PartyVat.New,True
300,2,General.VatManagement.PartyVat.Edit,True
301,2,General.VatManagement.PartyVat.Delete,True
302,2,General.VatManagement.PartyVat.List,True
303,2,Accounting.VoucherManagement.AccountsReview,True
304,2,Payroll.PayrollOperation.Leave,True
305,2,Payroll.ContractManagement.Initialization.New,True
306,2,Payroll.ContractManagement.Initialization.Edit,True
307,2,Payroll.ContractManagement.Initialization.Delete,True
308,2,Payroll.ContractManagement.Initialization.List,True
309,2,Payroll.PayrollOperation.MonthlyData.New,True
310,2,Payroll.PayrollOperation.MonthlyData.Edit,True
311,2,Payroll.PayrollOperation.MonthlyData.Delete,True
312,2,Payroll.PayrollOperation.MonthlyData.List,True
313,2,Payroll.PayrollOperation.Settlement.IssueAccVoucher,True
314,2,Payroll.PayrollOperation.Settlement.ShowAccVoucher,True
315,2,Payroll.PayrollOperation.Settlement.ShowReadOnlyAccVoucher,True
316,2,Payroll.PayrollOperation.Settlement.DeleteAccVoucher,True
317,2,Payroll.PayrollOperation.Settlement.New,True
318,2,Payroll.PayrollOperation.Settlement.Edit,True
319,2,Payroll.PayrollOperation.Settlement.Delete,True
320,2,Payroll.PayrollOperation.Settlement.List,True
321,2,Payroll.BasicData.ElementControl,True
322,2,Payroll.BasicData.Configuration.Edit,True
323,2,Payroll.BasicData.TaxTable.New,True
324,2,Payroll.BasicData.TaxTable.Edit,True
325,2,Payroll.BasicData.TaxTable.Delete,True
326,2,Payroll.BasicData.TaxTable.List,True
327,2,Payroll.BasicData.Branch.New,True
328,2,Payroll.BasicData.Branch.Edit,True
329,2,Payroll.BasicData.Branch.Delete,True
330,2,Payroll.BasicData.Branch.List,True
331,2,Payroll.BasicData.Job.New,True
332,2,Payroll.BasicData.Job.Edit,True
333,2,Payroll.BasicData.Job.Delete,True
334,2,Payroll.BasicData.Job.List,True
335,2,Payroll.BasicData.Element.New,True
336,2,Payroll.BasicData.Element.Edit,True
337,2,Payroll.BasicData.Element.Delete,True
338,2,Payroll.BasicData.Element.List,True
339,2,Payroll.PayrollOperation.TaxFile,True
340,2,Payroll.ContractManagement.Contract.New,True
341,2,Payroll.ContractManagement.Contract.Edit,True
342,2,Payroll.ContractManagement.Contract.Delete,True
343,2,Payroll.ContractManagement.Contract.List,True
344,2,Payroll.BasicData.Personnel.List,True
345,2,Payroll.PayrollOperation.PayrollLists.List,True
346,2,Payroll.PayrollOperation.InsuranceDisk,True
347,2,Payroll.PayrollOperation.BankDisk,True
349,2,Payroll.PayrollOperation.Calculation,True
350,2,Payroll.PayrollOperation.Calculation.IssueAccVoucher,True
351,2,Payroll.PayrollOperation.Calculation.ShowAccVoucher,True
352,2,Payroll.PayrollOperation.Calculation.DeleteAccVoucher,True
353,2,Payroll.BasicData.Worksite.New,True
354,2,Payroll.BasicData.Worksite.Edit,True
355,2,Payroll.BasicData.Worksite.Delete,True
356,2,Payroll.BasicData.Worksite.List,True
357,2,Payroll.PayrollOperation.PayrollReview,True
358,2,Payroll.BasicData.Loan.New,True
359,2,Payroll.BasicData.Loan.Edit,True
360,2,Payroll.BasicData.Loan.Delete,True
361,2,Payroll.BasicData.Loan.List,True
362,2,Framework.ImportExportManagement.ExportData,True
363,2,General.ShredManagement.Shred.Shred,True
364,2,General.ShredManagement.Shred.New,True
365,2,General.ShredManagement.Shred.Edit,True
366,2,General.ShredManagement.Shred.Delete,True
367,2,General.ShredManagement.Shred.RPPay,True
368,2,General.ShredManagement.Shred.Pay,True
369,2,General.ShredManagement.Shred.Unsettle,True
370,2,General.ShredManagement.Shred.List,True
371,2,Framework.ImportExportManagement.ImportData,True
372,2,Accounting.VoucherManagement.OpeningOperation,True
373,2,Framework.FiscalYearManagement.ClosingOperation,True
374,2,General.ToDoList.ToDoList.ReceiptChequesToDoListSheetOverdue,True
375,2,General.ToDoList.ToDoList.PaymentChequeNotOverdueToDoListSheet,True
376,2,General.ToDoList.ToDoList.PaymentChequesToDoListSheet,True
377,2,General.ToDoList.ToDoList.IntransitReceiptChequesToDoListSheet,True
378,2,General.ToDoList.ToDoList.InCashChequesToDoListSheetNotOverdue,True
379,2,General.ToDoList.ToDoList.RecievableShredsSheet,True
380,2,General.ToDoList.ToDoList.PayableShredsSheet,True
381,2,General.ToDoList.ToDoList.UndeliveredInvoiceToDoListSheet,True
382,2,General.ToDoList.ToDoList.UndeliveredReturnedInvoiceToDoListSheet,True
383,2,General.ToDoList.ToDoList.ItemWithNegativeInStockSheet,True
384,2,General.ToDoList.ToDoList.PricelessReceiptToDoList,True
385,2,General.ToDoList.ToDoList.SaleDeliveriesWithoutInvoice,True
386,2,General.ToDoList.ToDoList.NonReceiptTransferedInvetoryDeliverySheet,True
387,2,General.Grouping.Grouping.New,True
388,2,General.Grouping.Grouping.Edit,True
389,2,General.Grouping.Grouping.Delete,True
390,2,General.Grouping.Grouping.List,True
