ConfigurationID,Key,Value,Version
210,DefaultFixedAssetGroup                            ,2,1
211,DefaultFixedAssetPlaqueLenght                     ,10,1
212,DefaultFixedAssetPlatingMethod                    ,1,2
213,DefaultFixedAssetPlatingConstantPart              ,0,1
214,DefaultFixedAssetPlatingBegining                  ,00000001,2
215,InventoryReturnReceiptReturnedPriceDiffSL         ,811,4
216,RestartCounterPerGroup                            ,True,2
217,CurrentSendMessageWorkstation                     ,False,1
218,SendMessageWorkstation                            ,,1
219,IntervalSendMessage                               ,300,1
220,Piofy_GUID_Key                                    ,f392cbf4-4d2c-4be3-94f1-eee0671979b9,8
221,WeightUnit                                        ,,1
222,VolumeUnit                                        ,,1
223,OrderWithScheduleConstraint                       ,True,1
224,ShowInventoryQuantityOnMobile                     ,True,1
225,HotDistributionInventoryNoteSL                    ,801,2
226,RestApiPortNumber                                 ,7373,1
227,RestApiAddress                                    ,http://localhost,1
228,ControlBlockedAmount                              ,True,1
229,CustomerCreditRemainigWithChequeState             ,True,2
230,AutomaticallyIssueInvoiceForApprovedOrder         ,True,2
231,DropboxAccessToken                                ,,1
232,ParentChildInGrouping                             ,True,1
233,AddDeviceBrokerIntoReturnedInvoice                ,True,1
234,CorrectDate1400IsDone                             ,True,1
235,ShowInventoryTracingWithZeroStockQuantity         ,True,1
236,StatusOnAccountReceiptSL                          ,799,2
237,ContractPaymentSL                                 ,903,2
238,StatusOnAccountPaymentSL                          ,895,2
239,ContractInventoryDeliverySL                       ,659,2
240,ContractStatusPayableSL                           ,784,2
241,ContractStatusConfirmedPayableSL                  ,854,2
242,GuaranteePaidDebitSL                              ,775,2
243,GuaranteePaidCreditSL                             ,798,2
244,GuaranteeReceivedDebitSL                          ,772,2
245,GuaranteeReceivedCreditSL                         ,798,2
246,DefaultContractParty                              ,0,1
247,AbrAmadEndPoint                                   ,https://thr-storage.abramad.com:9021,0
248,AbrAmadBucketName                                 ,sepidar-backups,0
249,UniqueNationalCode                                ,False,1
250,AccountAnalysisSl                                 ,799,2
251,PettyCashBillIssueVoucher                         ,True,0
252,PettyCashInstallFiscalYear                        ,1,0
253,ControlPettyCashBalance                           ,True,0
254,CommercialOrderSlAccount                          ,784,2
255,CustomsClearanceSlAccount                         ,667,2
256,BillOfLoadingSLAccount                            ,668,2
257,BillOfLoadingAutomaticVoucher                     ,True,1
258,InsurancePolicySLAccount                          ,662,2
259,InsurancePolicyAutomaticVoucher                   ,True,1
260,CustomsClearanceAutomaticVoucher                  ,True,1
261,CommercialOrderAutomaticVoucher                   ,True,1
262,PurchaseCostSLAccount                             ,660,2
263,PurchaseInvoicePayableSLAccount                   ,784,2
264,PettyCashSL                                       ,645,2
265,PettyCashCurrencySL                               ,646,2
266,CheckOrderingLocationOnMobile                     ,False,1
267,CheckHotInvoiceLocationOnMobile                   ,False,1
268,MobileRefreshInTimeSpan                           ,False,1
269,MobileOrderingPermittedRange                      ,0,1
270,MobileHotInvoicePermittedRange                    ,0,1
271,RefreshTimeSpan                                   ,12,1
272,AbrAmadSecretToken                                ,,1
273,AbrAmadUserId                                     ,,1
274,GetTTMSWithError                                  ,False,1
275,BillSubmitStartDate                               ,,1
276,SendTaxPayerBillAccordingToExchangeBusiness       ,False,1
277,BillSubmitType                                    ,0,1
278,DirectSubmitClientID                              ,,1
279,DirectSubmitPrivateKey                            ,,1
280,DirectSubmitBaseUrl                               ,https://tp.tax.gov.ir/req/api/self-tsp/,1
281,DirectSubmitVersion                               ,v1,1
282,SubmitBySaamUrl                                   ,,1
283,SubmitBySaamUserName                              ,,1
284,SubmitBySaamPassword                              ,,1
285,SubmitBySaamApiKey                                ,,1
286,SubmitByKeysunUrl                                 ,https://mizeonline.ir/,1
287,SubmitByKeysunUserName                            ,,1
288,SubmitByKeysunPassword                            ,,1
289,SubmitByTissUrl                                   ,https://mem.dtiss.ir/,1
290,SubmitByTissToken                                 ,,1
291,BankFeeSlRef                                      ,765,2
292,SummarizedPettyCashBillVoucher                    ,False,1
293,ValidateSalePriceWithLastPurchasePrice            ,False,1
294,DefaultGridUserAccessInserted                     ,True,1
295,IsValueAddedDLTypeParty                           ,False,1
296,ValueAddedTaxDL                                   ,,1
297,PaymentChequeReminderInterval                     ,0,1
298,ShowPaymentChequeReminder                         ,True,1
299,ReceiptChequeReminderInterval                     ,0,1
300,ShowReceiptChequeReminder                         ,True,1
301,PaymentShredReminderInterval                      ,0,1
302,ShowPaymentShredReminder                          ,True,1
303,ReceiptShredReminderInterval                      ,0,1
304,ShowReceiptShredReminder                          ,True,1
305,ShowItemMinQuantityReminders                      ,True,1
306,ShowItemMaxQuantityReminders                      ,True,1
307,ShowReminderWindowAutomatically                   ,True,1
308,DirectSubmitV2ClientID                            ,,1
309,DirectSubmitV2PrivateKey                          ,,1
310,DirectSubmitV2BaseUrl                             ,https://tp.tax.gov.ir/requestsmanager/api/,1
311,DirectSubmitV2Certificate                         ,,1
312,ResetChequeSecondNumberConfig                     ,False,1
313,ItemRequestReminderInterval                       ,0,1
314,ShowItemRequestReminder                           ,True,1
315,InventoryPurchaseReturnOtherCostPriceSL           ,,1
316,ItemSerialIsRequired                              ,False,1
317,ControlReceiptBaseOnBOMStandardConsumption        ,False,3
318,ControlAddAndRemoveProductOrderItem               ,True,1
319,QuotationItemReadyforOrderDefault                 ,False,2
320,ControlSaleWithReserveStockQuantiyWithRegistered  ,False,1
