ElementId,Title,Title_En,Class,Type,NormalType,AccountRef,DlType,InsuranceCoverage,Taxable,UnrelatedToWorkingTime,CalculateForMinWorkingTime,CalculateForMinBase,Coefficient,FixPoint,DenominatorsType,Denominators,SavingRemainder,IsActive,DisplayOrder,Version,Creator,CreationDate,LastModifier,LastModificationDate,PaymentAccountRef,PaymentDlType,ElementTaxType
-417,مرخصي استفاده شده,مرخصي استفاده شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,417,1,1,2018-03-05 13:34:03.253000,1,2018-03-05 13:34:03.253000,,,0
-415,استقرار مرخصي,استقرار مرخصي,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,415,1,1,2018-03-05 13:34:03.253000,1,2018-03-05 13:34:03.253000,,,0
-410,مرخصي تعلق گرفته شده,مرخصي تعلق گرفته شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,410,1,1,2018-03-05 13:34:03.253000,1,2018-03-05 13:34:03.253000,,,0
-400,كاركرد مرخصي,كاركرد مرخصي,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,400,1,1,2018-03-05 13:34:03.253000,1,2018-03-05 13:34:03.253000,,,0
-399,جمع عوامل غير مستمر سال تا ماه قبل,جمع عوامل غير مستمر سال تا ماه قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,399,1,1,2018-03-05 13:34:03.253000,1,2018-03-05 13:34:03.253000,,,0
-398,جمع عوامل مستمر سال تا ماه قبل,جمع عوامل مستمر سال تا ماه قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,398,1,1,2018-03-05 13:34:03.250000,1,2018-03-05 13:34:03.250000,,,0
-397,جمع عوامل غير مستمر,جمع عوامل غير مستمر,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,397,1,1,2018-03-05 13:34:03.250000,1,2018-03-05 13:34:03.250000,,,0
-396,جمع عوامل مستمر,جمع عوامل مستمر,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,396,1,1,2018-03-05 13:34:03.250000,1,2018-03-05 13:34:03.250000,,,0
-395,جمع عوامل غير مستمر نقدي مشمول ماليات سال تا ماه قبل,جمع عوامل غير مستمر نقدي مشمول ماليات سال تا ماه قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,395,1,1,2018-03-05 13:34:03.247000,1,2018-03-05 13:34:03.247000,,,0
-394,جمع عوامل مستمر نقدي مشمول ماليات سال تا ماه قبل,جمع عوامل مستمر نقدي مشمول ماليات سال تا ماه قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,394,1,1,2018-03-05 13:34:03.247000,1,2018-03-05 13:34:03.247000,,,0
-393,معافيت جدول ماليات ماه جاري,معافيت جدول ماليات ماه جاري,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,393,1,1,2018-03-05 13:34:03.247000,1,2018-03-05 13:34:03.247000,,,0
-392,جمع معافيت جدول ماليات سال,جمع معافيت جدول ماليات سال,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,392,1,1,2018-03-05 13:34:03.247000,1,2018-03-05 13:34:03.247000,,,0
-391,معافيت جدول ماليات,معافيت جدول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,391,1,1,2018-03-05 13:34:03.247000,1,2018-03-05 13:34:03.247000,,,0
-390,ماليات,ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,390,1,1,2018-03-05 13:34:03.247000,1,2018-03-05 13:34:03.247000,,,0
-389,مقدار اصلي ماليات,مقدار اصلي ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,389,1,1,2018-03-05 13:34:03.250000,1,2018-03-05 13:34:03.250000,,,0
-385,ماليات ماه جاري,ماليات ماه جاري,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,385,1,1,2018-03-05 13:34:03.247000,1,2018-03-05 13:34:03.247000,,,0
-381,ماليات كل پس از تخفيف,ماليات كل پس از تخفيف,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,381,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-380,ماليات كل,ماليات كل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,380,1,1,2018-03-05 13:34:03.243000,1,2018-03-05 13:34:03.243000,,,0
-375,خروجي جدول ماليات براي ميانگين درآمد,خروجي جدول ماليات براي ميانگين درآمد,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,375,1,1,2018-03-05 13:34:03.243000,1,2018-03-05 13:34:03.243000,,,0
-370,ميانگين درآمد سال,ميانگين درآمد سال,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,370,1,1,2018-03-05 13:34:03.243000,1,2018-03-05 13:34:03.243000,,,0
-365,ماه هاي ماليات سال,ماه هاي ماليات سال,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,365,1,1,2018-03-05 13:34:03.243000,1,2018-03-05 13:34:03.243000,,,0
-360,روزهاي كامل سال,روزهاي كامل سال,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,360,1,1,2018-03-05 13:34:03.243000,1,2018-03-05 13:34:03.243000,,,0
-355,روزهاي ماليات سال,روزهاي ماليات سال,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,355,1,1,2018-03-05 13:34:03.243000,1,2018-03-05 13:34:03.243000,,,0
