LookupRef,LocaleName,Title
40253,ar,التلقي مسبقا
40253,en,Deposit
40253,ku,پێشەكي
40254,en,Tender
40255,en,BankGuarantee
40256,en,ReceivedGuarantee
40257,ar,مؤقت
40257,en,Temporary
40257,ku,كاتيي
40258,ar,قبل النهائي
40258,en,PreFinal
40258,ku,پێش بڕاوە
40259,ar,قاطع
40259,en,Final
40259,ku,بڕاوە
40260,ar,عادي
40260,en,Ordinary
40260,ku,ئاسايي
40261,en,Incremental Modified
40262,en,Decremental Modified
40263,ar,التعديلات
40263,en,Rider
40263,ku,پاشكۆ
40264,ar,جدول الأعمال
40264,en,Agenda
40264,ku,دەستووري كار
40265,ar,المحضر
40265,en,Minute
40265,ku,راپۆرتي كۆبوونەوە
40266,en,Supplement
40267,en,Contract
40268,ar,متزايد بالمائة
40268,en,Growth Percent
40268,ku,زيادكردني لەسەديي
40269,ar,تقليل بالمائة
40269,en,Reduction Percent
40269,ku,كەم كردنەوەي لەسەديي
40270,ar,زيادة كمية
40270,en,Growth Price
40270,ku,زيادكردني بڕ
40271,ar,تقليل كمية
40271,en,Reduction Price
40271,ku,كەم كردنەوەي بڕ
40272,ar,المبلغ الثابت
40272,en,Fixed Price
40272,ku,بڕە پارەي نەگۆڕ
40273,ar,يوم
40273,en,Day
40273,ku,رۆژ
40274,ar,الشهر
40274,en,Month
40274,ku,مانگ
40275,ar,عام
40275,en,Year
40275,ku,ساڵ
40276,ar,متزايد
40276,en,Additive
40276,ku,زيادكەرەوە
40277,ar,المنخفض
40277,en,Reductive
40277,ku,كەم كەرەوە
40278,ar,نقد
40278,en,In Cash
40278,ku,نەختيي
40279,ar,ائتمان
40279,en,Credit
40279,ku,قەرزي
40280,ar,المواد الاستهلاكية
40280,en,Consumable
40280,ku,كەرستەي بەكارهێنان
40281,ar,أجرة
40281,en,Wage
40281,ku,حەقدەست
40282,ar,الزائد
40282,en,Overload
40282,ku,سەربار
40283,ar,الآخر
40283,en,Other
40283,ku,ديكە
40284,ar,المكتب المركزي
40284,en,Main Office
40284,ku,نووسينگەي ناوەندي
40285,ar,ورشة
40285,en,Workshop
40285,ku,كارگەيي
40286,en,Demand
40287,ar,دين
40287,en,Debt
40287,ku,قەرزەكان
40288,en,OwnershipStatus
40289,en,Registered
40290,en,Reduced
40291,en,Extension
40292,en,Reduce
40293,en,Release
40294,en,Field
40295,en,Chapter
40296,en,Class
40297,en,Register
40298,en,Decisive Confirmed
40299,en,Revoked
40300,en,AgreementItem
40301,en,Contract
40302,en,Contracting
40303,en,Ownership
40304,en,Paid
40305,en,Received
40306,en,Contracting
40307,en,Ownership
40308,ar,تعاقد
40308,en,Contracting
40309,ar,تعاقد الجزئي
40309,en,Ownership
40310,en,DeActive
40311,en,Active
40312,ar,النقد
40312,en,Cash
40312,ku,نەختي
40313,ar,ائتمان
40313,en,Credit
40313,ku,قەڕز
40314,ar,النقد/ائتمان
40314,en,Cash/Credit
40314,ku,نەختي⁄قەڕز
40315,ar,10
40315,en,10
40315,ku,10
40316,ar,25
40316,en,25
40316,ku,25
40317,ar,50
40317,en,50
40317,ku,50
40318,ar,100
40318,en,100
40318,ku,100
40319,en,All
40320,en,Compare - None
40321,en,Compare - To Last Year
40322,en,Compare - To Last Two Years
40323,en,Compare - To Last Three Years
40324,en,Period Type - Day
40325,en,Period Type - Week
40326,en,Period Type - Month
40327,en,Period Type - Season
40328,en,Period Type - Year
40329,en,
40330,ar,و
40330,en,And
40330,ku,و
40331,ar,يا
40331,en,Or
40331,ku,يا
40332,en,
40333,en,Equal To
40334,en,Not Equal To
40335,en,Greater Than
40336,en,Greater Than Or Equal To
40337,en,Less Than
40338,en,Less Than Or Equal To
40339,en,Contains
40340,en,Includes
40341,en,Is Empty
40342,en,Is Not Empty
40343,en,Starts With
40344,en,Ends With
40345,en,Does Not Contain
40346,en,Does Not Include
40347,en,Yearly
40348,en,Quarter
40349,en,Monthly
40350,en,Weekly
40351,en,Daily
40352,en,Increase
40353,en,Decrease
40354,en,Not Changed
40355,ar,1: الممتلكات و لأموال النقدية للمصرف
40355,en,1: Bank Balanace
40355,ku,1: هەبووي بانك
40356,ar,2: أموال
40356,en,2: Cash Balance
40356,ku,هەبووي بوخچە:2
40357,ar,3: قارئ بطاقة المخزون
40357,en,3: Pos Balance
40357,ku,هەبووي ئامێري كارت‌ناس:3
40358,ar,4: Petty cash Balance
40358,en,4: Petty cash Balance
40358,ku,4: Petty cash Balance
40359,ar,5: التعهدات المستحقة
40359,en,5: Recievable
40359,ku,بەڵێنەكان بۆ وەرگرتن:5
40360,ar,6: الالتزامات المستحقة
40360,en,6: Payable
40360,ku,بەڵێنەكان بۆ پێدان:6
40361,en,
40362,en,Q1
40363,en,Q2
40364,en,Q3
40365,en,Q4
40366,ar,الرمز
40366,en,Code
40366,ku,كۆد
40367,ar,الباركود
40367,en,BarCode
40367,ku,باركۆد
40368,ar,ابتداي استخدام
40368,en,Since Employment
40368,ku,سەرەتاي دامەزراندن
40369,ar,نقل السنة المالية
40369,en,Fiscalyear Transfer
40369,ku,گواستنەوەي ساڵي ماڵيي
40370,ar,التوظيف
40370,en,Employment
40370,ku,دامەزراندن
40371,ar,تعديل العقد
40371,en,Modification
40371,ku,چاكسازي گرێبەستەكە
40372,ar,آخر
40372,en,Other
40372,ku,ديكە
40373,ar,التعاقدي
40373,en,Peymani
40373,ku,بە گرێبەست
40374,ar,الرسمي
40374,en,Official
40374,ku,رەسمي
40375,ar,رسمي آزمايشي
40375,en,Tentative Official
40375,ku,رەسمي تێستيي
40376,ar,قراردادي
40376,en,By Contract
40376,ku,بە گرێبەست
40377,ar,روزمزد
40377,en,Daily Pay
40377,ku,رۆژمزد
40378,ar,خدمة النظام
40378,en,Service Pay
40378,ku,كڕيني خزمەت
40379,ar,المأمور
40379,en,Assignee
40379,ku,فەرمانبەر
40380,ar,ساعة
40380,en,Hourly Pay
40380,ku,كاتژمێريي
40381,ar,الرسمي الموسمي
40381,en,Season Official
40381,ku,رسمي فصلي
40382,ar,أجرة
40382,en,Wager Pay
40382,ku,حەقدەستيي
40383,ar,ذو صلة بالشركات
40383,en,Company
40384,en,
40385,ar,فرزند سوم
40385,en,Third Child
40385,ku,فرزند سوم
40386,ar,فرزند چهارم
40386,en,Forth Child
40386,ku,فرزند چهارم
40387,ar,فرزند پنجم
40387,en,Fifth Child
40387,ku,فرزند پنجم
40388,ar,الإنتاج
40388,en,Production
40388,ku,وەبەرهێنان
40389,ar,إداري
40389,en,Ministerial and Institutional
40389,ku,ئيداري و رێكخراوەيي
40390,ar,الخدمة و العامة
40390,en,Service and Public
40390,ku,خزمەتگوزاريي و گشتيي
40391,ar,المزود
40391,en,Buy
40391,ku,دابينكار
40392,ar,الآخر
40392,en,Other
40392,ku,ديكە
40393,ar,زبون
40393,en,Sales
40393,ku,كڕيار
40394,en,Broker
40395,en,PettyCash
40396,en,Distribution Mobile
40397,en,CRM Server
40398,en,ECommerce Server
40399,en,Item
