ItemStockID,ItemRef,StockRef,Version
2889,2292,14,1
2890,2293,10,1
2891,2293,12,1
2892,2227,13,1
2893,2289,13,1
2894,2294,13,1
2895,2294,14,1
2896,2295,13,1
2897,2295,14,1
2898,2296,13,1
2899,2296,14,1
2900,2297,13,1
2901,2297,14,1
2902,2298,13,1
2903,2298,14,1
2904,2299,13,1
2905,2299,14,1
2906,2300,13,1
2907,2300,14,1
2908,2301,13,1
2909,2301,14,1
2910,2302,13,1
2911,2302,14,1
2912,2303,13,1
2913,2303,14,1
2914,2304,13,1
2915,2304,14,1
2916,2305,13,1
2917,2305,14,1
2918,2306,13,1
2919,2306,14,1
2920,2307,13,1
2921,2307,14,1
2922,2308,13,1
2923,2308,14,1
2924,2139,11,1
2925,2309,13,1
2926,2309,14,1
2927,2311,13,1
2928,2311,14,1
2929,2313,10,1
2930,2313,13,1
2931,2313,14,1
2932,2314,1,1
2933,2012,16,1
2934,2013,16,1
2935,2315,10,1
2936,2315,13,1
2937,2315,14,1
2938,1989,13,1
2939,1989,14,1
2940,2154,20,1
2941,2163,20,1
2942,2165,20,1
2944,2203,20,1
2945,2279,20,1
2946,2190,20,1
2947,1979,20,1
2948,1980,20,1
2949,1977,20,1
2950,2182,20,1
2951,2182,10,1
2952,2219,20,1
2953,2219,12,1
2954,1981,20,1
