Database: Sepidar01
================================================================================
Schema.Table                                       | Records    | File
INV.InventoryReceiptOtherCostItem                    |          0 | table_exports2\INV_InventoryReceiptOtherCostItem.csv
INV.VoucherItemTracking                              |          0 | table_exports2\INV_VoucherItemTracking.csv
INV.CompoundBarcode                                  |          0 | table_exports2\INV_CompoundBarcode.csv
INV.InventoryDelivery                                |      19012 | table_exports2\INV_InventoryDelivery.csv
INV.InventoryBalancingItem                           |        574 | table_exports2\INV_InventoryBalancingItem.csv
INV.InventoryBalancing                               |          2 | table_exports2\INV_InventoryBalancing.csv
INV.InventoryDeliveryItem                            |      52429 | table_exports2\INV_InventoryDeliveryItem.csv
PAY.MonthlyDataPersonnelElement                      |          0 | table_exports2\PAY_MonthlyDataPersonnelElement.csv
PAY.PersonnelTaxFileInfoChangeLog                    |         52 | table_exports2\PAY_PersonnelTaxFileInfoChangeLog.csv
PAY.PayrollCalendar                                  |        192 | table_exports2\PAY_PayrollCalendar.csv
PAY.PayrollConfiguration                             |          1 | table_exports2\PAY_PayrollConfiguration.csv
PAY.Job                                              |         13 | table_exports2\PAY_Job.csv
PAY.Leave                                            |          0 | table_exports2\PAY_Leave.csv
PAY.Loan                                             |          2 | table_exports2\PAY_Loan.csv
PAY.MonthlyData                                      |          0 | table_exports2\PAY_MonthlyData.csv
PAY.MonthlyDataPersonnel                             |          0 | table_exports2\PAY_MonthlyDataPersonnel.csv
PAY.ElementItem                                      |        137 | table_exports2\PAY_ElementItem.csv
PAY.Element                                          |        245 | table_exports2\PAY_Element.csv
PAY.ContractElement                                  |          5 | table_exports2\PAY_ContractElement.csv
PAY.DailyHourMinute                                  |         16 | table_exports2\PAY_DailyHourMinute.csv
PAY.Contract                                         |          1 | table_exports2\PAY_Contract.csv
PAY.Calculation                                      |          0 | table_exports2\PAY_Calculation.csv
PAY.PiofyMonthlyCalculation                          |          0 | table_exports2\PAY_PiofyMonthlyCalculation.csv
PAY.TaxTableItem                                     |        230 | table_exports2\PAY_TaxTableItem.csv
PAY.Worksite                                         |          3 | table_exports2\PAY_Worksite.csv
PAY.PiofyAttendanceFactorMapper                      |          0 | table_exports2\PAY_PiofyAttendanceFactorMapper.csv
PAY.WorkExperience                                   |          1 | table_exports2\PAY_WorkExperience.csv
PAY.Branch                                           |          2 | table_exports2\PAY_Branch.csv
PAY.SettlementItem                                   |          0 | table_exports2\PAY_SettlementItem.csv
PAY.TaxTable                                         |         66 | table_exports2\PAY_TaxTable.csv
PAY.TaxGroup                                         |          3 | table_exports2\PAY_TaxGroup.csv
PAY.PiofyAttendanceFactor                            |          0 | table_exports2\PAY_PiofyAttendanceFactor.csv
PAY.PersonnelInitiate                                |          0 | table_exports2\PAY_PersonnelInitiate.csv
PAY.PersonnelInitiateElement                         |          0 | table_exports2\PAY_PersonnelInitiateElement.csv
PAY.Settlement                                       |          0 | table_exports2\PAY_Settlement.csv
PAY.PayrollConfigurationElement                      |         34 | table_exports2\PAY_PayrollConfigurationElement.csv
PAY.Personnel                                        |         52 | table_exports2\PAY_Personnel.csv
POS.SettlementItem                                   |          0 | table_exports2\POS_SettlementItem.csv
POS.Settlement                                       |          0 | table_exports2\POS_Settlement.csv
POS.ReturnedInvoice                                  |          0 | table_exports2\POS_ReturnedInvoice.csv
POS.ReturnedInvoiceItem                              |          0 | table_exports2\POS_ReturnedInvoiceItem.csv
POS.QuickBarItem                                     |          0 | table_exports2\POS_QuickBarItem.csv
POS.Cashier                                          |          0 | table_exports2\POS_Cashier.csv
POS.QuickBar                                         |          0 | table_exports2\POS_QuickBar.csv
POS.InvoiceItem                                      |          0 | table_exports2\POS_InvoiceItem.csv
POS.Invoice                                          |          0 | table_exports2\POS_Invoice.csv
RPA.ReceiptDraft                                     |        622 | table_exports2\RPA_ReceiptDraft.csv
RPA.ReceiptHeader                                    |        643 | table_exports2\RPA_ReceiptHeader.csv
RPA.ReceiptChequeHistory                             |          0 | table_exports2\RPA_ReceiptChequeHistory.csv
RPA.ReceiptChequeBankingItem                         |          0 | table_exports2\RPA_ReceiptChequeBankingItem.csv
RPA.ReceiptPos                                       |          0 | table_exports2\RPA_ReceiptPos.csv
RPA.Reconciliation                                   |          0 | table_exports2\RPA_Reconciliation.csv
RPA.PettyCash                                        |          0 | table_exports2\RPA_PettyCash.csv
RPA.ReconciliationBankItem                           |          0 | table_exports2\RPA_ReconciliationBankItem.csv
RPA.PettyCashBill                                    |          0 | table_exports2\RPA_PettyCashBill.csv
RPA.ReceiptPettyCash                                 |          0 | table_exports2\RPA_ReceiptPettyCash.csv
RPA.ReconciliationItem                               |          0 | table_exports2\RPA_ReconciliationItem.csv
RPA.PettyCashBillItem                                |          0 | table_exports2\RPA_PettyCashBillItem.csv
RPA.PaymentDraft                                     |       1136 | table_exports2\RPA_PaymentDraft.csv
RPA.PartySettlementItem                              |          0 | table_exports2\RPA_PartySettlementItem.csv
RPA.PaymentHeader                                    |       1118 | table_exports2\RPA_PaymentHeader.csv
RPA.PartySettlement                                  |          0 | table_exports2\RPA_PartySettlement.csv
RPA.PaymentChequeHistory                             |         81 | table_exports2\RPA_PaymentChequeHistory.csv
RPA.PaymentChequeOther                               |          0 | table_exports2\RPA_PaymentChequeOther.csv
