Database: Sepidar01
============================================================
Schema.Table                             | Records
ACC.vwOpeningOperation                   | 1
POM.vwItemRequestItem                    | 0
GNR.vwDevice                             | 0
ACC.vwOtherDL                            | 15
POM.vwPerforma                           | 0
GNR.vwDeviceUserParty                    | 0
ACC.vwVoucher                            | 800
POM.vwPerformaItem                       | 0
GNR.vwEstablishmentCommunication         | 0
ACC.vwVoucherItem                        | 45641
POM.vwPurchaseCost                       | 0
GNR.vwFormulaElement                     | 4
AST.vwAcquisitionReceipt                 | 0
POM.vwPurchaseCostItem                   | 0
GNR.vwGrouping                           | 37
AST.vwAcquisitionReceiptItem             | 0
POM.vwPurchaseInvoice                    | 0
GNR.vwLocationList                       | 7777
AST.vwAcquisitionRelatedPurchaseInvoice  | 0
POM.vwPurchaseInvoiceItem                | 0
GNR.vwMarketingDiskette                  | 0
AST.vwAsset                              | 0
POM.vwPurchaseOrder                      | 0
GNR.vwMarketingDiskette1396              | 0
AST.vwAssetAccAccountVoucher             | 0
POM.vwPurchaseOrderCostedQuantities      | 0
GNR.vwMarketingDisketteItem              | 0
AST.vwAssetClass                         | 7
POM.vwPurchaseOrderInvoicedQuantities    | 0
GNR.vwMarketingDisketteItem1396          | 0
AST.vwAssetDepreciationSummary           | 0
POM.vwPurchaseOrderItem                  | 0
GNR.vwMarketingDiskettePartyMapper       | 0
AST.vwAssetExitFinacial                  | 0
POM.vwPurchaseOtherCostItem              | 0
GNR.vwParty                              | 166
AST.vwAssetGroup                         | 10
POM.vwPurchaseRequest                    | 0
GNR.vwPartyAddress                       | 2
AST.vwAssetRelatedPurchaseInvoice        | 0
POM.vwPurchaseRequestItem                | 0
GNR.vwPiofyEmployeeMapper                | 0
AST.vwAssetTransaction                   | 0
POM.vwPurchaseRequestItemVendor          | 0
GNR.vwReminder                           | 0
AST.vwAssetTransactionCosts              | 0
POM.vwVoucheredInventoryReceiptPurchaseInvoicesQuantities | 0
GNR.vwShred                              | 15
AST.vwAstCostCenter                      | 8
POS.vwCashier                            | 0
GNR.vwShredItem                          | 165
AST.vwChangeDepreciationMethod           | 0
POS.vwInvoice                            | 0
GNR.vwShredRemaining                     | 15
AST.vwChangeDepreciationMethodItem       | 0
POS.vwInvoiceItem                        | 0
GNR.vwSignature                          | 0
AST.vwCostPart                           | 0
POS.vwQuickBarItem                       | 0
GNR.vwTaxPayerAssetSaleItemMapper        | 0
AST.vwCostPartTransaction                | 0
POS.vwReturnedInvoice                    | 0
GNR.vwTaxPayerBill                       | 0
AST.vwDepreciation                       | 0
POS.vwReturnedInvoiceItem                | 0
GNR.vwTaxPayerBillItem                   | 0
AST.vwDepreciationItem                   | 0
POS.vwSettlement                         | 0
GNR.vwTaxPayerBillSubmitLog              | 0
AST.vwDepreciationRule                   | 169
POS.vwSettlementItem                     | 0
GNR.vwTaxPayerContractAgreementItemMapper | 0
AST.vwElimination                        | 0
RPA.vwBankAccount                        | 20
GNR.vwTaxPayerContractMapper             | 0
AST.vwEliminationItem                    | 0
RPA.vwBankAccountBalance                 | 2104
GNR.vwTaxPayerCurrency                   | 142
AST.vwEmplacement                        | 1
RPA.vwBankAccountBalanceFiscalYear       | 2104
GNR.vwTaxPayerCurrencyMapper             | 1
AST.vwEstablishment                      | 0
RPA.vwBankAccountGuaranteeCashDeposit    | 0
GNR.vwTaxPayerItemMapping                | 359
AST.vwEstablishmentItem                  | 0
RPA.vwBankBill                           | 0
