ItemID,Type,Code,Title,Title_En,BarCode,UnitRef,SecondaryUnitRef,SaleUnitRef,IsUnitRatioConstant,UnitsRatio,MinimumAmount,MaximumAmount,CanHaveTracing,TracingCategoryRef,IsPricingBasedOnTracing,TaxExempt,TaxExemptPurchase,Sellable,DefaultStockRef,PurchaseGroupRef,SaleGroupRef,CompoundBarcodeRef,ItemCategoryRef,Creator,CreationDate,LastModifier,LastModificationDate,Version,IsActive,AccountSLRef,IranCode,TaxRate,DutyRate,CodingGroupRef,SerialTracking,Weight,Volume,ConsumerFee
2067,1,1100002,پيتزا مرغ و قارچ,پيتزا مرغ و قارچ,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:25,10,2026-06-01 18:10:23,3,True,,,0.0000,0.0000,80,False,,,
2068,1,1100003,پيتزا مخصوص,پيتزا مخصوص,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:25,10,2026-06-14 10:53:31,6,True,,,0.0000,0.0000,80,False,,,
2069,1,1100004,پيتزا پپروني,پيتزا پپروني,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:26,10,2026-06-01 18:11:08,3,True,,,0.0000,0.0000,80,False,,,
2070,1,1100005,پيتزا پنجره اي,پيتزا پنجره اي,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:26,10,2026-06-01 18:11:40,2,True,,,0.0000,0.0000,80,False,,,
2071,1,1100006,پيتزا سبزيجات,پيتزا سبزيجات,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:26,10,2026-06-01 18:11:55,2,True,,,0.0000,0.0000,80,False,,,
2072,1,1100007,پيتزا فيلادلفيا استيك,پيتزا فيلادلفيا استيك,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:27,10,2026-06-01 18:12:10,2,True,,,0.0000,0.0000,80,False,,,
2073,1,1100008,پيتزا قارچ و پنير,پيتزا قارچ و پنير,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:27,10,2026-06-01 18:12:23,2,True,,,0.0000,0.0000,80,False,,,
2074,1,1100009,ايتاليايي رست بيف,ايتاليايي رست بيف,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:27,10,2026-06-01 18:12:34,2,True,,,0.0000,0.0000,80,False,,,
2075,1,1100010,ايتاليايي مخصوص سكه طلا,ايتاليايي مخصوص سكه طلا,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:28,10,2026-06-01 18:12:57,3,True,,,0.0000,0.0000,80,False,,,
2076,1,1100011,ايتاليايي پپروني,ايتاليايي پپروني,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:28,10,2026-06-01 18:13:14,2,True,,,0.0000,0.0000,80,False,,,
2077,1,1100012,ايتاليايي استيك,ايتاليايي استيك,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:28,10,2026-06-01 18:13:25,2,True,,,0.0000,0.0000,80,False,,,
2078,1,1100013,ايتاليايي سبزيجات,ايتاليايي سبزيجات,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:29,10,2026-06-01 18:13:37,2,True,,,0.0000,0.0000,80,False,,,
2079,1,1100014,ايتاليايي بيف ترك,ايتاليايي بيف ترك,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:29,10,2026-06-01 18:13:49,2,True,,,0.0000,0.0000,80,False,,,
2080,1,1100015,ايتاليايي چيكن,ايتاليايي چيكن,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:29,10,2026-06-01 18:13:59,2,True,,,0.0000,0.0000,80,False,,,
2081,1,1100016,ايتاليايي زبان,ايتاليايي زبان,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:30,10,2026-06-01 18:14:11,2,True,,,0.0000,0.0000,80,False,,,
2082,1,1100017,ايتاليايي بوقلمون,ايتاليايي بوقلمون,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:30,10,2026-06-01 18:14:24,2,True,,,0.0000,0.0000,80,False,,,
2083,1,1100018,برگر مخصوص سكه طلا,برگر مخصوص سكه طلا,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:30,10,2026-06-01 18:14:36,2,True,,,0.0000,0.0000,80,False,,,
2084,1,1100019,باني چيز,باني چيز,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:31,10,2026-06-01 18:14:46,2,True,,,0.0000,0.0000,80,False,,,
2085,1,1100020,چيز برگر,چيز برگر,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:31,10,2026-06-01 18:14:56,2,True,,,0.0000,0.0000,80,False,,,
2086,1,1100021,ماشروم برگر,ماشروم برگر,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:31,10,2026-06-01 18:15:11,2,True,,,0.0000,0.0000,80,False,,,
2087,1,1100022,برگر ويژه سكه طلا,برگر ويژه سكه طلا,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:32,10,2026-06-01 18:15:23,2,True,,,0.0000,0.0000,80,False,,,
2088,1,1100023,برگر ويژه با پنير مخصوص,برگر ويژه با پنير مخصوص,,2,,2,True,,,,False,,False,False,False,True,13,,,,,1,2025-09-23 11:59:32,10,2026-06-01 18:15:37,2,True,,,0.0000,0.0000,80,False,,,
