ItemStockSummaryID,StockRef,ItemRef,TracingRef,Order,UnitRef,InputQuantity,OutputQuantity,Quantity,SaleQuantity,FiscalYearRef,SaleWithReserveQuantity,FeedFromClosingOperation
780,10,2225,,1,8,100.0000,0.0000,100.0000,0.0000,1,0.0000,False
781,10,1995,,1,2,7500.0000,5600.0000,1900.0000,0.0000,1,0.0000,False
782,10,2016,,1,2,4250.0000,4250.0000,0.0000,0.0000,1,0.0000,False
783,10,2164,,1,1,10.2600,10.7834,-0.5234,0.0000,1,0.0000,False
784,10,2114,,1,2,194.3845,233.7796,-39.3951,0.0000,1,0.0000,False
785,10,2226,,1,2,22800.0000,16450.0000,6350.0000,0.0000,1,0.0000,False
786,10,1986,,1,5,19.0000,17.3843,1.6157,0.0000,1,0.0000,False
787,10,2165,,1,2,291.0000,291.0000,0.0000,0.0000,1,0.0000,False
788,10,1867,,1,5,8.3025,4.4827,3.8198,0.0000,1,0.0000,False
789,10,2162,,1,1,102.6100,74.7615,27.8485,0.0000,1,0.0000,False
790,10,1903,,1,1,4.0185,1.7421,2.2764,0.0000,1,0.0000,False
791,10,1881,,1,1,1.5700,0.2510,1.3190,0.0000,1,0.0000,False
792,10,2014,,1,1,323.7500,163.7054,160.0446,0.0000,1,0.0000,False
793,10,1915,,1,1,0.8500,1.0500,-0.2000,0.0000,1,0.0000,False
794,10,1902,,1,1,0.4850,0.6150,-0.1300,0.0000,1,0.0000,False
795,10,2040,,1,5,35.3479,29.7080,5.6399,0.0000,1,0.0000,False
796,10,2056,,1,1,55.0000,38.7432,16.2568,0.0000,1,0.0000,False
797,10,2250,,1,1,2.4000,0.0000,2.4000,0.0000,1,0.0000,False
798,10,1894,,1,1,3.1300,0.0420,3.0880,0.0000,1,0.0000,False
799,10,1900,,1,1,0.3400,0.3042,0.0358,0.0000,1,0.0000,False
800,10,2251,,1,1,15.0000,15.0000,0.0000,0.0000,1,0.0000,False
