LocationId,Title,Title_En,Code,Parent,Type,Version,Creator,CreationDate,LastModifier,LastModificationDate,MinistryofFinanceCode,TaxFileCode
124,اهرم,اهرم,0772522,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8802101,
125,بوشهر,بوشهر,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8801000,
126,برازجان,برازجان,0773415,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8804101,
127,تنگستان,تنگستان,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8802000,
128,خورموج,خورموج,0772622,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8805101,
129,خارك,خارك,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8801200,
130,ديلم,ديلم,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8808000,
131,دير,دير,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8803000,
132,دشتي,دشتي,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8805000,
133,دشتستان,دشتستان,,9,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,8804000,
135,فيروزكوه,فيروزكوه,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1003200,
136,فشم,فشم,0221322,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1006301,
137,قدس,قدس,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1007101,
138,قرچك,قرچك,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1010101,
139,كن,كن,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1001200,
140,كهريزك,كهريزك,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1004300,
141,مركزي كرج,مركزي كرج,,34,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,4900021,
142,لواسانات,لواسانات,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1006200,
143,ملارد,ملارد,0262366,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1007103,
144,چهاردانگه,چهاردانگه,0262456,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1002200,
145,نظراباد,نظراباد,0262532,34,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,4902000,
146,هشتگرد,هشتگرد,,34,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,4901008,
147,ورامين,ورامين,0291,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1010000,
149,پاكدشت,پاكدشت,,10,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1010200,
