TaxTableItemId,FromAmount,ToAmount,Rate,TaxTableRef,InLineAmount,PartialAmount
27,7666668.0000,12500000.0000,10.00,5,658333.0000,483333.0000000000
28,12500001.0000,25000000.0000,12.50,5,2220833.0000,1562500.0000000000
29,25000001.0000,87500000.0000,15.00,5,11595833.0000,9375000.0000000000
30,87500001.0000,99999999999.0000,17.50,5,17496283333.0000,17484687500.0000000000
31,1.0000,4375000.0000,0.00,6,0.0000,0E-10
32,4375001.0000,7875000.0000,5.00,6,175000.0000,175000.0000000000
33,7875001.0000,12708333.0000,10.00,6,658333.0000,483333.0000000000
34,12708334.0000,25208333.0000,12.50,6,2220833.0000,1562500.0000000000
35,25208334.0000,87708333.0000,15.00,6,11595833.0000,9375000.0000000000
36,87708334.0000,999999999.0000,17.50,6,171246874.0000,159651041.0000000000
37,1.0000,4850000.0000,0.00,7,0.0000,0E-10
38,4850001.0000,8350000.0000,5.00,7,175000.0000,175000.0000000000
39,8350001.0000,13183333.0000,10.00,7,658333.0000,483333.0000000000
40,13183334.0000,25683333.0000,12.50,7,2220833.0000,1562500.0000000000
41,25683334.0000,88183333.0000,15.00,7,11595833.0000,9375000.0000000000
42,88183334.0000,999999999.0000,17.50,7,171163749.0000,159567916.0000000000
43,1.0000,5500000.0000,0.00,8,0.0000,0E-10
44,5500001.0000,9000000.0000,5.00,8,175000.0000,175000.0000000000
45,9000001.0000,13833333.0000,10.00,8,658333.0000,483333.0000000000
46,13833334.0000,26333333.0000,12.50,8,2220833.0000,1562500.0000000000
47,26333334.0000,88833333.0000,15.00,8,11595833.0000,9375000.0000000000
48,88833334.0000,999999999.0000,17.50,8,171049999.0000,159454166.0000000000
49,1.0000,9999999999.0000,0.00,9,0.0000,0E-10
50,1.0000,9999999999.0000,0.00,10,0.0000,0E-10
51,1.0000,9999999999.0000,0.00,11,0.0000,0E-10
52,1.0000,9999999999.0000,0.00,12,0.0000,0E-10
53,1.0000,8333333.0000,0.00,13,0.0000,0E-10
54,8333334.0000,11833333.0000,10.00,13,350000.0000,350000.0000000000
55,11833334.0000,16666666.0000,20.00,13,1316667.0000,966666.0000000000
56,16666667.0000,29166667.0000,25.00,13,4441667.0000,3125000.0000000000
57,29166668.0000,91666667.0000,30.00,13,23191667.0000,18750000.0000000000
58,91666668.0000,999999999.0000,35.00,13,341108333.0000,317916666.0000000000
59,1.0000,8333333.0000,0.00,14,0.0000,0E-10
60,8333334.0000,11833333.0000,5.00,14,175000.0000,175000.0000000000
61,11833334.0000,16666666.0000,10.00,14,658333.0000,483333.0000000000
62,16666667.0000,29166667.0000,12.50,14,2220833.0000,1562500.0000000000
