BrokerID,InvoiceRef,PartyRef,Commission,Rate,CommissionInBaseCurrency
682,6565,147,720000.0000,1.0000000000000000,720000.0000
683,6567,80,1170000.0000,1.0000000000000000,1170000.0000
684,6577,87,810000.0000,1.0000000000000000,810000.0000
685,6581,86,700000.0000,1.0000000000000000,700000.0000
687,6590,86,700000.0000,1.0000000000000000,700000.0000
688,6595,80,630000.0000,1.0000000000000000,630000.0000
689,6596,81,810000.0000,1.0000000000000000,810000.0000
690,6607,87,810000.0000,1.0000000000000000,810000.0000
691,6609,87,810000.0000,1.0000000000000000,810000.0000
692,6621,147,990000.0000,1.0000000000000000,990000.0000
693,6628,80,810000.0000,1.0000000000000000,810000.0000
694,6637,81,720000.0000,1.0000000000000000,720000.0000
695,6642,86,850000.0000,1.0000000000000000,850000.0000
696,6694,81,630000.0000,1.0000000000000000,630000.0000
697,6705,81,630000.0000,1.0000000000000000,630000.0000
698,6712,86,900000.0000,1.0000000000000000,900000.0000
699,6716,86,1200000.0000,1.0000000000000000,1200000.0000
700,6719,81,720000.0000,1.0000000000000000,720000.0000
701,6724,147,675000.0000,1.0000000000000000,675000.0000
702,6728,80,1800000.0000,1.0000000000000000,1800000.0000
703,6749,86,1100000.0000,1.0000000000000000,1100000.0000
704,6756,80,675000.0000,1.0000000000000000,675000.0000
705,6764,80,720000.0000,1.0000000000000000,720000.0000
706,6766,87,765000.0000,1.0000000000000000,765000.0000
707,6805,81,675000.0000,1.0000000000000000,675000.0000
708,6824,147,810000.0000,1.0000000000000000,810000.0000
709,6828,87,810000.0000,1.0000000000000000,810000.0000
710,6831,87,720000.0000,1.0000000000000000,720000.0000
711,6834,80,630000.0000,1.0000000000000000,630000.0000
712,6846,86,1000000.0000,1.0000000000000000,1000000.0000
713,6851,81,720000.0000,1.0000000000000000,720000.0000
714,6874,86,800000.0000,1.0000000000000000,800000.0000
715,6888,80,720000.0000,1.0000000000000000,720000.0000
716,6896,87,765000.0000,1.0000000000000000,765000.0000
717,6907,86,900000.0000,1.0000000000000000,900000.0000
718,6921,80,765000.0000,1.0000000000000000,765000.0000
719,6935,86,800000.0000,1.0000000000000000,800000.0000
720,6936,87,765000.0000,1.0000000000000000,765000.0000
721,6937,86,800000.0000,1.0000000000000000,800000.0000
722,6948,147,765000.0000,1.0000000000000000,765000.0000
723,6950,147,630000.0000,1.0000000000000000,630000.0000
724,6953,82,720000.0000,1.0000000000000000,720000.0000
725,6960,81,810000.0000,1.0000000000000000,810000.0000
726,6965,80,720000.0000,1.0000000000000000,720000.0000
727,6968,82,720000.0000,1.0000000000000000,720000.0000
728,6974,147,630000.0000,1.0000000000000000,630000.0000
729,6975,82,630000.0000,1.0000000000000000,630000.0000
730,6977,81,765000.0000,1.0000000000000000,765000.0000
731,6999,147,810000.0000,1.0000000000000000,810000.0000
732,7010,81,765000.0000,1.0000000000000000,765000.0000
733,7014,82,900000.0000,1.0000000000000000,900000.0000
734,7064,82,720000.0000,1.0000000000000000,720000.0000
735,7065,86,850000.0000,1.0000000000000000,850000.0000
736,7070,82,630000.0000,1.0000000000000000,630000.0000
737,7073,81,1260000.0000,1.0000000000000000,1260000.0000
738,7077,147,630000.0000,1.0000000000000000,630000.0000
739,7079,80,630000.0000,1.0000000000000000,630000.0000
740,7084,147,1260000.0000,1.0000000000000000,1260000.0000
741,7109,80,675000.0000,1.0000000000000000,675000.0000
742,7113,80,765000.0000,1.0000000000000000,765000.0000
743,7120,82,810000.0000,1.0000000000000000,810000.0000
744,7134,81,765000.0000,1.0000000000000000,765000.0000
745,7140,82,720000.0000,1.0000000000000000,720000.0000
746,7143,147,720000.0000,1.0000000000000000,720000.0000
747,7145,86,750000.0000,1.0000000000000000,750000.0000
748,7146,86,700000.0000,1.0000000000000000,700000.0000
749,7150,82,720000.0000,1.0000000000000000,720000.0000
750,7153,80,630000.0000,1.0000000000000000,630000.0000
751,7157,86,800000.0000,1.0000000000000000,800000.0000
752,7161,80,1035000.0000,1.0000000000000000,1035000.0000
753,7179,81,630000.0000,1.0000000000000000,630000.0000
754,7188,147,810000.0000,1.0000000000000000,810000.0000
755,7199,81,765000.0000,1.0000000000000000,765000.0000
756,7212,80,675000.0000,1.0000000000000000,675000.0000
757,7236,86,850000.0000,1.0000000000000000,850000.0000
758,7254,80,720000.0000,1.0000000000000000,720000.0000
759,7258,147,810000.0000,1.0000000000000000,810000.0000
760,7274,80,720000.0000,1.0000000000000000,720000.0000
761,7275,147,855000.0000,1.0000000000000000,855000.0000
762,7276,80,630000.0000,1.0000000000000000,630000.0000
763,7284,134,2100000.0000,1.0000000000000000,2100000.0000
764,7300,82,1170000.0000,1.0000000000000000,1170000.0000
765,7308,80,675000.0000,1.0000000000000000,675000.0000
766,7310,80,1260000.0000,1.0000000000000000,1260000.0000
767,7318,80,810000.0000,1.0000000000000000,810000.0000
768,7320,147,810000.0000,1.0000000000000000,810000.0000
769,7322,86,800000.0000,1.0000000000000000,800000.0000
770,7327,86,950000.0000,1.0000000000000000,950000.0000
771,7335,80,675000.0000,1.0000000000000000,675000.0000
772,7338,82,720000.0000,1.0000000000000000,720000.0000
773,7350,147,675000.0000,1.0000000000000000,675000.0000
774,7358,82,810000.0000,1.0000000000000000,810000.0000
775,7361,82,630000.0000,1.0000000000000000,630000.0000
776,7371,82,630000.0000,1.0000000000000000,630000.0000
777,7393,147,675000.0000,1.0000000000000000,675000.0000
778,7396,86,900000.0000,1.0000000000000000,900000.0000
779,7409,82,720000.0000,1.0000000000000000,720000.0000
780,7412,80,765000.0000,1.0000000000000000,765000.0000
781,7421,86,950000.0000,1.0000000000000000,950000.0000
782,7434,80,675000.0000,1.0000000000000000,675000.0000
783,7442,80,810000.0000,1.0000000000000000,810000.0000
784,7455,82,720000.0000,1.0000000000000000,720000.0000
785,7457,80,855000.0000,1.0000000000000000,855000.0000
786,7458,147,1170000.0000,1.0000000000000000,1170000.0000
787,7467,86,850000.0000,1.0000000000000000,850000.0000
788,7469,80,765000.0000,1.0000000000000000,765000.0000
789,7474,82,720000.0000,1.0000000000000000,720000.0000
790,7481,82,630000.0000,1.0000000000000000,630000.0000
791,7483,86,800000.0000,1.0000000000000000,800000.0000
792,7507,147,1080000.0000,1.0000000000000000,1080000.0000
793,7510,147,810000.0000,1.0000000000000000,810000.0000
794,7512,81,630000.0000,1.0000000000000000,630000.0000
795,7518,81,675000.0000,1.0000000000000000,675000.0000
796,7528,81,765000.0000,1.0000000000000000,765000.0000
797,7533,147,675000.0000,1.0000000000000000,675000.0000
798,7534,147,630000.0000,1.0000000000000000,630000.0000
799,7539,147,675000.0000,1.0000000000000000,675000.0000
800,7549,81,765000.0000,1.0000000000000000,765000.0000
801,7552,82,720000.0000,1.0000000000000000,720000.0000
802,7554,82,765000.0000,1.0000000000000000,765000.0000
803,7556,87,675000.0000,1.0000000000000000,675000.0000
804,7558,87,900000.0000,1.0000000000000000,900000.0000
805,7565,80,855000.0000,1.0000000000000000,855000.0000
806,7568,80,720000.0000,1.0000000000000000,720000.0000
807,7570,81,810000.0000,1.0000000000000000,810000.0000
808,7578,147,810000.0000,1.0000000000000000,810000.0000
809,7586,81,765000.0000,1.0000000000000000,765000.0000
810,7593,81,810000.0000,1.0000000000000000,810000.0000
811,7594,80,810000.0000,1.0000000000000000,810000.0000
812,7599,87,720000.0000,1.0000000000000000,720000.0000
813,7607,87,900000.0000,1.0000000000000000,900000.0000
814,7613,82,1800000.0000,1.0000000000000000,1800000.0000
815,7618,87,720000.0000,1.0000000000000000,720000.0000
816,7620,147,810000.0000,1.0000000000000000,810000.0000
817,7621,147,720000.0000,1.0000000000000000,720000.0000
818,7623,82,765000.0000,1.0000000000000000,765000.0000
819,7626,147,765000.0000,1.0000000000000000,765000.0000
820,7631,80,765000.0000,1.0000000000000000,765000.0000
821,7633,81,765000.0000,1.0000000000000000,765000.0000
822,7638,80,810000.0000,1.0000000000000000,810000.0000
823,7644,81,765000.0000,1.0000000000000000,765000.0000
824,7650,80,765000.0000,1.0000000000000000,765000.0000
825,7652,80,675000.0000,1.0000000000000000,675000.0000
826,7654,86,850000.0000,1.0000000000000000,850000.0000
827,7655,87,765000.0000,1.0000000000000000,765000.0000
828,7656,82,1350000.0000,1.0000000000000000,1350000.0000
829,7663,86,800000.0000,1.0000000000000000,800000.0000
830,7669,81,720000.0000,1.0000000000000000,720000.0000
831,7672,80,765000.0000,1.0000000000000000,765000.0000
832,7683,147,720000.0000,1.0000000000000000,720000.0000
833,7696,81,675000.0000,1.0000000000000000,675000.0000
834,7699,86,850000.0000,1.0000000000000000,850000.0000
835,7712,87,675000.0000,1.0000000000000000,675000.0000
836,7728,86,800000.0000,1.0000000000000000,800000.0000
837,7730,87,630000.0000,1.0000000000000000,630000.0000
838,7734,86,850000.0000,1.0000000000000000,850000.0000
839,7737,147,720000.0000,1.0000000000000000,720000.0000
840,7752,147,630000.0000,1.0000000000000000,630000.0000
841,7759,81,720000.0000,1.0000000000000000,720000.0000
842,7762,82,630000.0000,1.0000000000000000,630000.0000
843,7766,82,630000.0000,1.0000000000000000,630000.0000
844,7770,80,765000.0000,1.0000000000000000,765000.0000
845,7771,82,630000.0000,1.0000000000000000,630000.0000
846,7772,80,765000.0000,1.0000000000000000,765000.0000
847,7778,86,800000.0000,1.0000000000000000,800000.0000
848,7784,80,900000.0000,1.0000000000000000,900000.0000
849,7790,80,675000.0000,1.0000000000000000,675000.0000
850,7793,82,720000.0000,1.0000000000000000,720000.0000
851,7796,87,810000.0000,1.0000000000000000,810000.0000
852,7806,80,765000.0000,1.0000000000000000,765000.0000
853,7812,80,765000.0000,1.0000000000000000,765000.0000
854,7816,86,700000.0000,1.0000000000000000,700000.0000
855,7818,80,675000.0000,1.0000000000000000,675000.0000
856,7821,86,700000.0000,1.0000000000000000,700000.0000
857,7826,87,630000.0000,1.0000000000000000,630000.0000
858,7828,81,675000.0000,1.0000000000000000,675000.0000
859,7832,87,765000.0000,1.0000000000000000,765000.0000
860,7834,147,630000.0000,1.0000000000000000,630000.0000
861,7853,82,765000.0000,1.0000000000000000,765000.0000
862,7883,82,855000.0000,1.0000000000000000,855000.0000
863,7890,86,750000.0000,1.0000000000000000,750000.0000
864,7891,81,765000.0000,1.0000000000000000,765000.0000
865,7902,82,630000.0000,1.0000000000000000,630000.0000
866,7916,80,720000.0000,1.0000000000000000,720000.0000
867,7931,81,630000.0000,1.0000000000000000,630000.0000
868,7937,86,1000000.0000,1.0000000000000000,1000000.0000
869,7948,87,900000.0000,1.0000000000000000,900000.0000
870,7950,147,855000.0000,1.0000000000000000,855000.0000
871,7951,81,630000.0000,1.0000000000000000,630000.0000
872,7956,87,630000.0000,1.0000000000000000,630000.0000
873,7974,86,850000.0000,1.0000000000000000,850000.0000
874,7979,87,720000.0000,1.0000000000000000,720000.0000
875,7999,80,990000.0000,1.0000000000000000,990000.0000
876,8029,86,850000.0000,1.0000000000000000,850000.0000
877,8033,86,850000.0000,1.0000000000000000,850000.0000
878,8039,87,810000.0000,1.0000000000000000,810000.0000
879,8077,82,675000.0000,1.0000000000000000,675000.0000
880,8078,86,750000.0000,1.0000000000000000,750000.0000
881,8079,147,720000.0000,1.0000000000000000,720000.0000
882,8119,82,720000.0000,1.0000000000000000,720000.0000
883,8124,147,765000.0000,1.0000000000000000,765000.0000
884,8144,87,765000.0000,1.0000000000000000,765000.0000
885,8151,82,765000.0000,1.0000000000000000,765000.0000
886,8156,82,765000.0000,1.0000000000000000,765000.0000
887,8158,147,720000.0000,1.0000000000000000,720000.0000
888,8160,86,850000.0000,1.0000000000000000,850000.0000
889,8161,87,810000.0000,1.0000000000000000,810000.0000
890,8176,147,765000.0000,1.0000000000000000,765000.0000
891,8177,82,810000.0000,1.0000000000000000,810000.0000
892,8178,82,810000.0000,1.0000000000000000,810000.0000
893,8187,87,720000.0000,1.0000000000000000,720000.0000
894,8204,87,675000.0000,1.0000000000000000,675000.0000
895,8205,147,1800000.0000,1.0000000000000000,1800000.0000
896,8207,147,810000.0000,1.0000000000000000,810000.0000
897,8220,86,750000.0000,1.0000000000000000,750000.0000
898,8232,82,765000.0000,1.0000000000000000,765000.0000
899,8241,86,800000.0000,1.0000000000000000,800000.0000
900,8247,87,720000.0000,1.0000000000000000,720000.0000
901,8249,82,720000.0000,1.0000000000000000,720000.0000
902,8251,87,720000.0000,1.0000000000000000,720000.0000
903,8271,86,800000.0000,1.0000000000000000,800000.0000
904,8276,86,750000.0000,1.0000000000000000,750000.0000
905,8286,86,750000.0000,1.0000000000000000,750000.0000
906,8296,86,900000.0000,1.0000000000000000,900000.0000
907,8303,82,810000.0000,1.0000000000000000,810000.0000
908,8311,147,630000.0000,1.0000000000000000,630000.0000
909,8312,147,630000.0000,1.0000000000000000,630000.0000
910,8321,87,630000.0000,1.0000000000000000,630000.0000
911,8326,82,810000.0000,1.0000000000000000,810000.0000
912,8330,87,810000.0000,1.0000000000000000,810000.0000
913,8347,86,1100000.0000,1.0000000000000000,1100000.0000
914,8349,87,630000.0000,1.0000000000000000,630000.0000
915,8350,82,720000.0000,1.0000000000000000,720000.0000
916,8364,147,900000.0000,1.0000000000000000,900000.0000
917,8369,147,765000.0000,1.0000000000000000,765000.0000
918,8387,82,1620000.0000,1.0000000000000000,1620000.0000
919,8392,86,1000000.0000,1.0000000000000000,1000000.0000
920,8394,86,700000.0000,1.0000000000000000,700000.0000
921,8398,87,720000.0000,1.0000000000000000,720000.0000
922,8412,147,630000.0000,1.0000000000000000,630000.0000
923,8414,86,800000.0000,1.0000000000000000,800000.0000
924,8416,82,810000.0000,1.0000000000000000,810000.0000
925,8453,87,720000.0000,1.0000000000000000,720000.0000
926,8468,82,720000.0000,1.0000000000000000,720000.0000
927,8478,86,800000.0000,1.0000000000000000,800000.0000
928,8487,86,700000.0000,1.0000000000000000,700000.0000
929,8488,147,765000.0000,1.0000000000000000,765000.0000
930,8495,86,800000.0000,1.0000000000000000,800000.0000
931,8496,82,765000.0000,1.0000000000000000,765000.0000
932,8508,87,855000.0000,1.0000000000000000,855000.0000
933,8509,147,765000.0000,1.0000000000000000,765000.0000
934,8512,87,765000.0000,1.0000000000000000,765000.0000
935,8517,147,720000.0000,1.0000000000000000,720000.0000
936,8539,86,750000.0000,1.0000000000000000,750000.0000
937,8543,86,850000.0000,1.0000000000000000,850000.0000
938,8570,86,700000.0000,1.0000000000000000,700000.0000
939,8571,147,1800000.0000,1.0000000000000000,1800000.0000
940,8594,82,900000.0000,1.0000000000000000,900000.0000
941,8605,82,990000.0000,1.0000000000000000,990000.0000
942,8620,80,1440000.0000,1.0000000000000000,1440000.0000
943,8626,147,720000.0000,1.0000000000000000,720000.0000
944,8633,81,765000.0000,1.0000000000000000,765000.0000
945,8636,81,900000.0000,1.0000000000000000,900000.0000
946,8638,147,720000.0000,1.0000000000000000,720000.0000
947,8641,87,810000.0000,1.0000000000000000,810000.0000
948,8658,81,720000.0000,1.0000000000000000,720000.0000
949,8661,82,810000.0000,1.0000000000000000,810000.0000
950,8662,82,810000.0000,1.0000000000000000,810000.0000
951,8669,147,810000.0000,1.0000000000000000,810000.0000
952,8670,81,810000.0000,1.0000000000000000,810000.0000
953,8676,147,720000.0000,1.0000000000000000,720000.0000
954,8677,87,810000.0000,1.0000000000000000,810000.0000
955,8678,147,720000.0000,1.0000000000000000,720000.0000
956,8683,87,630000.0000,1.0000000000000000,630000.0000
957,8686,86,700000.0000,1.0000000000000000,700000.0000
958,8700,82,765000.0000,1.0000000000000000,765000.0000
959,8702,86,850000.0000,1.0000000000000000,850000.0000
960,8705,82,720000.0000,1.0000000000000000,720000.0000
961,8711,86,900000.0000,1.0000000000000000,900000.0000
962,8726,81,810000.0000,1.0000000000000000,810000.0000
963,8730,81,810000.0000,1.0000000000000000,810000.0000
964,8744,82,1800000.0000,1.0000000000000000,1800000.0000
