AccountTopicId,AccountSLRef,TopicRef,Version,Creator,CreationDate,LastModifier,LastModificationDate
253,714,105,1,1,2024-06-19 14:13:05,1,2024-06-19 14:13:05
254,715,120,1,1,2024-06-19 14:13:49,1,2024-06-19 14:13:49
255,716,120,1,1,2024-06-19 14:14:19,1,2024-06-19 14:14:19
256,717,75,1,1,2024-06-19 14:14:42,1,2024-06-19 14:14:42
257,718,155,1,1,2024-06-19 14:15:51,1,2024-06-19 14:15:51
258,719,130,1,1,2024-06-19 14:16:29,1,2024-06-19 14:16:29
259,720,130,1,1,2024-06-19 14:17:59,1,2024-06-19 14:17:59
260,721,145,1,1,2024-06-19 14:19:02,1,2024-06-19 14:19:02
261,722,150,1,1,2024-06-19 14:19:24,1,2024-06-19 14:19:24
262,723,150,1,1,2024-06-19 14:19:55,1,2024-06-19 14:19:55
263,724,150,1,1,2024-06-19 14:20:21,1,2024-06-19 14:20:21
264,725,150,1,1,2024-06-19 14:20:43,1,2024-06-19 14:20:43
265,726,150,1,1,2024-06-19 14:21:23,1,2024-06-19 14:21:23
266,727,150,1,1,2024-06-19 14:22:31,1,2024-06-19 14:22:31
267,728,150,1,1,2024-06-19 14:23:04,1,2024-06-19 14:23:04
268,729,150,1,1,2024-06-19 14:23:37,1,2024-06-19 14:23:37
269,730,150,1,1,2024-06-19 14:25:08,1,2024-06-19 14:25:08
270,731,150,1,1,2024-06-19 14:25:36,1,2024-06-19 14:25:36
271,732,150,1,1,2024-06-19 14:25:54,1,2024-06-19 14:25:54
272,733,150,1,1,2024-06-19 14:26:41,1,2024-06-19 14:26:41
273,734,150,1,1,2024-06-19 14:27:02,1,2024-06-19 14:27:02
274,735,150,1,1,2024-06-19 14:27:25,1,2024-06-19 14:27:25
275,736,150,1,1,2024-06-19 14:27:41,1,2024-06-19 14:27:41
276,737,150,1,1,2024-06-19 14:28:04,1,2024-06-19 14:28:04
277,738,150,1,1,2024-06-19 14:28:42,1,2024-06-19 14:28:42
278,739,160,1,1,2024-06-19 14:29:29,1,2024-06-19 14:29:29
279,740,150,1,1,2024-06-19 14:30:05,1,2024-06-19 14:30:05
280,741,150,1,1,2024-06-19 14:30:39,1,2024-06-19 14:30:39
281,742,160,1,1,2024-06-19 14:31:39,1,2024-06-19 14:31:39
282,743,150,1,1,2024-06-19 14:32:37,1,2024-06-19 14:32:37
283,744,150,1,1,2024-06-19 14:33:00,1,2024-06-19 14:33:00
284,745,160,1,1,2024-06-19 14:34:48,1,2024-06-19 14:34:48
285,746,160,1,1,2024-06-19 14:35:45,1,2024-06-19 14:35:45
286,747,150,1,1,2024-06-19 14:36:05,1,2024-06-19 14:36:05
287,748,160,1,1,2024-06-19 14:36:33,1,2024-06-19 14:36:33
