MarketingDisketteCurrencyID,Code,Ttile,Version,Creator,CreationDate,LastModifier,LastModificationDate
87,600,گواراني پاراگوئه-PYG,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
88,604,سل پرو-PEN,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
89,608,پزو فيليپين-PHP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
90,634,ريال قطر-QAR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
91,643,روبل روسيه-RUB,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
92,646,فرانك رواندا-RWF,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
93,654,پوند سنت هلن-SHP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
94,678,دوبرا سائوتومه و پرينسيپ-STD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
95,682,ريال عربستان سعودي-SAR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
96,690,روپيه سيشل-SCR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
97,694,لئون سيرالئون-SLL,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
98,702,دلار سنگاپور-SGD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
99,704,دونگ ويتنام-VND,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
100,706,شيلينگ سومالي-SOS,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
101,710,راند افريقاي جنوبي-ZAR,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
102,748,ليلانگني سوازيلند-SZL,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
103,752,كرون سوئد-SEK,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
104,756,فرانك سوئيس-CHF,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
105,760,پوند سوريه-SYP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
106,764,بات تايلند-THB,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
107,776,پاآنگاي تونگا-TOP,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
108,780,دلار ترينيداد و توباگو-TTD,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
109,784,درهم امارات-AED,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
110,788,دينار تونس-TND,1,1,2017-07-09 13:05:00.390000,1,2017-07-09 13:05:00.390000
