SchedulingItemId,SchedulingRef,DateTime
244,-1,2018-11-19 00:00:00
245,-1,2018-11-20 00:00:00
246,-1,2018-11-21 00:00:00
247,-1,2018-11-22 00:00:00
248,-1,2018-11-23 00:00:00
249,-1,2018-11-24 00:00:00
250,-1,2018-11-25 00:00:00
251,-1,2018-11-26 00:00:00
252,-1,2018-11-27 00:00:00
253,-1,2018-11-28 00:00:00
254,-1,2018-11-29 00:00:00
255,-1,2018-11-30 00:00:00
256,-1,2018-12-01 00:00:00
257,-1,2018-12-02 00:00:00
258,-1,2018-12-03 00:00:00
259,-1,2018-12-04 00:00:00
260,-1,2018-12-05 00:00:00
261,-1,2018-12-06 00:00:00
262,-1,2018-12-07 00:00:00
263,-1,2018-12-08 00:00:00
264,-1,2018-12-09 00:00:00
265,-1,2018-12-10 00:00:00
266,-1,2018-12-11 00:00:00
267,-1,2018-12-12 00:00:00
268,-1,2018-12-13 00:00:00
269,-1,2018-12-14 00:00:00
270,-1,2018-12-15 00:00:00
271,-1,2018-12-16 00:00:00
272,-1,2018-12-17 00:00:00
273,-1,2018-12-18 00:00:00
274,-1,2018-12-19 00:00:00
275,-1,2018-12-20 00:00:00
276,-1,2018-12-21 00:00:00
277,-1,2018-12-22 00:00:00
278,-1,2018-12-23 00:00:00
279,-1,2018-12-24 00:00:00
280,-1,2018-12-25 00:00:00
281,-1,2018-12-26 00:00:00
282,-1,2018-12-27 00:00:00
283,-1,2018-12-28 00:00:00
284,-1,2018-12-29 00:00:00
285,-1,2018-12-30 00:00:00
286,-1,2018-12-31 00:00:00
287,-1,2019-01-01 00:00:00
288,-1,2019-01-02 00:00:00
289,-1,2019-01-03 00:00:00
290,-1,2019-01-04 00:00:00
291,-1,2019-01-05 00:00:00
292,-1,2019-01-06 00:00:00
293,-1,2019-01-07 00:00:00
294,-1,2019-01-08 00:00:00
295,-1,2019-01-09 00:00:00
296,-1,2019-01-10 00:00:00
297,-1,2019-01-11 00:00:00
298,-1,2019-01-12 00:00:00
299,-1,2019-01-13 00:00:00
300,-1,2019-01-14 00:00:00
301,-1,2019-01-15 00:00:00
302,-1,2019-01-16 00:00:00
303,-1,2019-01-17 00:00:00
304,-1,2019-01-18 00:00:00
305,-1,2019-01-19 00:00:00
306,-1,2019-01-20 00:00:00
307,-1,2019-01-21 00:00:00
308,-1,2019-01-22 00:00:00
309,-1,2019-01-23 00:00:00
310,-1,2019-01-24 00:00:00
311,-1,2019-01-25 00:00:00
312,-1,2019-01-26 00:00:00
313,-1,2019-01-27 00:00:00
314,-1,2019-01-28 00:00:00
315,-1,2019-01-29 00:00:00
316,-1,2019-01-30 00:00:00
317,-1,2019-01-31 00:00:00
318,-1,2019-02-01 00:00:00
319,-1,2019-02-02 00:00:00
320,-1,2019-02-03 00:00:00
321,-1,2019-02-04 00:00:00
