TaxTableId,Title,Title_En,TaxGroupRef,Date,Version,Creator,CreationDate,LastModifier,LastModificationDate,TaxType
49,جدول ماليات عيدي سال 1402,New Year Taxable (100%) Year 1402,1,2023-03-21 00:00:00,1,1,2024-03-02 17:26:00,1,2024-03-02 17:26:00,2
50,جدول ماليات  عيدي 50 درصدي سال 1402,Leakage Area New Year (50%) Year 1402,2,2023-03-21 00:00:00,1,1,2024-03-02 17:26:00,1,2024-03-02 17:26:00,2
51,جدول ماليات عيدي سال 1402 معاف,NonTaxable New Year (0%) Year 1402,3,2023-03-21 00:00:00,1,1,2024-03-02 17:26:00,1,2024-03-02 17:26:00,2
52,جدول ماليات سال 1403,Taxable (100%) Year 1403,1,2024-03-20 00:00:00,1,1,2024-06-19 10:38:00,1,2024-06-19 10:38:00,1
53,جدول ماليات 50 درصدي سال 1403,Leakage Area (50%) Year 1403,2,2024-03-20 00:00:00,1,1,2024-06-19 10:38:00,1,2024-06-19 10:38:00,1
54,جدول ماليات سال 1403 معاف,NonTaxable (0%) Year 1403,3,2024-03-20 00:00:00,1,1,2024-06-19 10:38:00,1,2024-06-19 10:38:00,1
55,جدول ماليات عيدي سال 1403,New Year Taxable (100%) Year 1403,1,2024-03-20 00:00:00,1,1,2024-06-19 10:38:00,1,2024-06-19 10:38:00,2
56,جدول ماليات  عيدي 50 درصدي سال 1403,Leakage Area New Year (50%) Year 1403,2,2024-03-20 00:00:00,1,1,2024-06-19 10:38:00,1,2024-06-19 10:38:00,2
57,جدول ماليات عيدي سال 1403 معاف,NonTaxable New Year (0%) Year 1403,3,2024-03-20 00:00:00,1,1,2024-06-19 10:38:00,1,2024-06-19 10:38:00,2
58,جدول ماليات سال 1404,Taxable (100%) Year 1404,1,2025-03-21 00:00:00,1,1,2025-04-27 16:45:00,1,2025-04-27 16:45:00,1
59,جدول ماليات 50 درصدي سال 1404,Leakage Area (50%) Year 1404,2,2025-03-21 00:00:00,1,1,2025-04-27 16:45:00,1,2025-04-27 16:45:00,1
60,جدول ماليات سال 1404 معاف,NonTaxable (0%) Year 1404,3,2025-03-21 00:00:00,1,1,2025-04-27 16:45:00,1,2025-04-27 16:45:00,1
61,جدول ماليات عيدي سال 1404,New Year Taxable (100%) Year 1404,1,2025-03-21 00:00:00,1,1,2025-04-27 16:45:00,1,2025-04-27 16:45:00,2
62,جدول ماليات  عيدي 50 درصدي سال 1404,Leakage Area New Year (50%) Year 1404,2,2025-03-21 00:00:00,1,1,2025-04-27 16:45:00,1,2025-04-27 16:45:00,2
63,جدول ماليات عيدي سال 1404 معاف,NonTaxable New Year (0%) Year 1404,3,2025-03-21 00:00:00,1,1,2025-04-27 16:45:00,1,2025-04-27 16:45:00,2
64,جدول ماليات سال 1405,Taxable (100%) Year 1405,1,2026-03-21 00:00:00,1,1,2026-05-12 11:10:00,1,2026-05-12 11:10:00,1
65,جدول ماليات 50 درصدي سال 1405,Leakage Area (50%) Year 1405,2,2026-03-21 00:00:00,1,1,2026-05-12 11:10:00,1,2026-05-12 11:10:00,1
66,جدول ماليات سال 1405 معاف,NonTaxable (0%) Year 1405,3,2026-03-21 00:00:00,1,1,2026-05-12 11:10:00,1,2026-05-12 11:10:00,1
