ShredItemID,ShredRef,RowNumber,UsanceDate,Amount,InterestAmount,PenaltyAmount,PenaltyRate,Status,PaymentRef,ReceiptRef,PaymentDate,IsPaid,PaidDate,PaidDesc,PartySettlementRef
77,18,5,2026-08-09 00:00:00,1833333822.0000,236346000.0000,0.0000,,2,,,,False,,,
78,18,6,2026-09-09 00:00:00,1833333822.0000,236346000.0000,0.0000,,2,,,,False,,,
79,18,7,2026-10-10 00:00:00,1833333822.0000,236346000.0000,0.0000,,2,,,,False,,,
80,18,8,2026-11-09 00:00:00,1833325602.0000,236346000.0000,0.0000,,2,,,,False,,,
81,19,1,2026-03-10 00:00:00,303845047.0000,39157219.0000,0.0000,,1,1250,,,False,2026-05-10 00:00:00,,
82,19,2,2026-04-08 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
83,19,3,2026-05-09 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
84,19,4,2026-06-09 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
85,19,5,2026-07-10 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
86,19,6,2026-08-10 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
87,19,7,2026-09-10 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
88,19,8,2026-10-11 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
89,19,9,2026-11-10 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
90,19,10,2026-12-10 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
91,19,11,2027-01-09 00:00:00,303832266.0000,39170000.0000,0.0000,,2,,,,False,,,
92,19,12,2027-02-08 00:00:00,303832292.0000,39170000.0000,0.0000,,2,,,,False,,,
93,6,11,2026-05-26 00:00:00,6983600.0000,0.0000,0.0000,,1,,,,True,2026-05-30 00:00:00,تسويه از محل ملي 5003 شخصي مارال ,
94,6,12,2026-05-26 00:00:00,37705066.0000,0.0000,0.0000,,1,1270,,,False,2026-05-30 00:00:00,,
95,6,13,2026-05-26 00:00:00,121255600.0000,0.0000,0.0000,,1,1271,,,False,2026-06-01 00:00:00,,
96,6,14,2026-05-26 00:00:00,22776225.0000,0.0000,0.0000,,1,1272,,,False,2026-06-03 00:00:00,,
97,6,15,2026-05-26 00:00:00,8787167.0000,0.0000,0.0000,,1,1273,,,False,2026-06-04 00:00:00,,
98,20,1,2026-06-11 00:00:00,0.0000,28480000.0000,0.0000,,1,1679,,,False,2026-06-11 00:00:00,,
99,20,2,2026-07-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
100,20,3,2026-08-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
101,20,4,2026-09-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
102,20,5,2026-10-13 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
103,20,6,2026-11-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
104,20,7,2026-12-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
105,20,8,2027-01-11 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
106,20,9,2027-02-10 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
107,20,10,2027-03-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
108,20,11,2027-04-10 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
109,20,12,2027-05-11 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
110,20,13,2027-06-11 00:00:00,0.0000,14241600.0000,0.0000,,2,,,,False,,,
111,20,14,2027-07-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
112,20,15,2027-08-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
113,20,16,2027-09-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
114,20,17,2027-10-13 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
115,20,18,2027-11-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
116,20,19,2027-12-12 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
117,20,20,2028-01-11 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
118,20,21,2028-02-10 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
119,20,22,2028-03-11 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
120,20,23,2028-04-09 00:00:00,32360000.0000,0.0000,0.0000,,2,,,,False,,,
121,20,24,2028-05-10 00:00:00,32440000.0000,0.0000,0.0000,,2,,,,False,,,
122,21,1,2026-02-12 00:00:00,460101758.0000,0.0000,0.0000,,1,1318,,,False,2026-04-12 00:00:00,,
123,21,2,2026-03-14 00:00:00,464516000.0000,0.0000,0.0000,,1,1323,,,False,2026-04-24 00:00:00,,
124,21,3,2026-04-12 00:00:00,464516000.0000,0.0000,0.0000,,1,1323,,,False,2026-04-24 00:00:00,,
125,21,4,2026-05-13 00:00:00,464516000.0000,0.0000,0.0000,,1,1321,,,False,2026-05-13 00:00:00,,
126,21,5,2026-06-13 00:00:00,464516000.0000,0.0000,0.0000,,1,1324,,,False,2026-05-13 00:00:00,,
127,21,6,2026-07-14 00:00:00,464516000.0000,0.0000,0.0000,,1,1324,,,False,2026-05-13 00:00:00,,
128,21,7,2026-08-14 00:00:00,464516000.0000,0.0000,0.0000,,1,1324,,,False,2026-05-13 00:00:00,,
129,21,8,2026-09-14 00:00:00,464516000.0000,0.0000,0.0000,,1,1324,,,False,2026-05-13 00:00:00,,
130,21,9,2026-10-15 00:00:00,349504886.0000,0.0000,0.0000,,1,1324,,,False,2026-05-13 00:00:00,,
131,21,10,2026-10-15 00:00:00,115011114.0000,0.0000,0.0000,,1,,,,True,2026-05-13 00:00:00,بخشودگي بابت تسويه زود تر از موعد وام,
132,22,1,2026-03-10 00:00:00,524367583.0000,134166667.0000,0.0000,,1,,,,True,2026-05-10 00:00:00,تسويه از حساب ملي 12007 اقا مجيد,
133,22,2,2026-04-08 00:00:00,534417962.0000,124116288.0000,0.0000,,1,,,,True,2026-06-09 00:00:00,تسويه از حساب ملي 12007 مجيد حلبيان فر,
134,22,3,2026-05-09 00:00:00,544660972.0000,113873278.0000,0.0000,,2,,,,False,,,
135,22,4,2026-06-09 00:00:00,555100308.0000,103433942.0000,0.0000,,2,,,,False,,,
